category	question	answer
Samsung care plus	What if I reach my claim limit?	"When you reach your claim limit, your policy will automatically end and no refund will be due.

When you reach your claim limit, your policy will automatically end and no refund will be due. Customers paying monthly can make up to 2 claims per 12 months, with a maximum 4-6 claims over 36 months. Customers who purchase a 1-year policy are allowed 2 claims in the period. Customers with a 2-year policy are allowed 4 claims in the period.
"
Samsung care plus	What if I return the device I purchased Samsung Care+ for?	"Return your device and receive a pro-rata refund for your Samsung Care+ policy, if no claims have been made and the return is accepted by the retailer.

"
samsung rewards	What is Samsung Rewards?	"Unlock exclusive rewards with Samsung Rewards. Earn points for every purchase on Samsung.com.

Samsung Rewards is our loyalty program. Earn points whenever you make a purchase on Samsung.com (not including Samsung Business Shop, Student Shop or Employee Purchase Portals). You can then spend your accumulated points on Samsung.com. Simply sign in to your Samsung Account and register for Samsung Rewards to start earning points today. If you don't have an account, please see our Shop FAQs. Samsung Rewards is open to UK residents aged 18 and over only.
"
samsung rewards	Where can I spend my Samsung Rewards Points?I enrol in Samsung Rewards?	"To enrol in Samsung Rewards, you must create a Samsung Account and agree to the Samsung Rewards Terms & Conditions.

"
samsung rewards	Where can I spend my Samsung Rewards Points?	"You can redeem Samsung Rewards points for most products available for purchase on Samsung.com.

You can Spend Samsung Rewards Points on most products for sale on Samsung.com. They can also generally be used in conjunction with any other offers running at the time, so you can get an even better deal. Points can also be redeemed in the form of various vouchers from Samsung Members. Simply navigate to the Benefits section in your app or online, and then select Samsung Rewards, and the vouchers you can get will be listed.
"
samsung rewards	How do I check my Samsung Rewards status?	"Create an account on Samsung.com to view your Samsung Rewards status every step of the way.

You can check your Samsung Rewards status on Samsung.com. Simply navigate to your Samsung account and click on 'Rewards'. Your status will be shown there. Alternatively, you can use the Samsung Members App. Visit the Benefits section and then select Samsung Rewards to view your status. 
"
samsung rewards	I’ve made a purchase, why can’t I see my Rewards Points in my account?	"Enhance your Samsung Rewards experience by signing in and enrolling before making purchases.

You must be logged in to your Samsung Account and have enrolled to Samsung Rewards when you made your purchase. If you were logged into your Samsung Account but not enrolled, you will have 14 days after the purchase date to retrospectively join Rewards. If you checked out as a Guest you will not be entitled to earn Rewards points on your order. Any earned Rewards Points will show up in your Samsung Account 14 days after delivery of your product(s)."
samsung rewards	How do I earn Samsung Rewards points?	"When signed in to your Samsung account, you will automatically earn Rewards points for any purchase made on Samsung.com.

First of all, you need to sign in to your Samsung account and register for Samsung Rewards. Once registered, you will earn Samsung Rewards Points on all eligible purchases you make on Samsung.com (not including Samsung Business Shop, Student Shop or Employee Purchase Portals), the Samsung Shop App, or at our Samsung KX store in London. Please note that your points will appear in your account 14 days after delivery.
"
samsung rewards	How many points do I earn for each product I buy on Samsung.com?	"Earn Samsung Rewards Points worth 1% of your purchase at Samsung.com, excluding discounts.

Qualified transactions earn Samsung Rewards Points equivalent to 1% of the purchase price, less any discounts. If you pay for part of your order using Samsung Rewards Points, you will not earn points on that part.
"
samsung rewards	When do I earn Samsung Rewards Points?	"Earn Samsung Rewards Points instantly, but redeem them after 14 days from purchase.

You earn points at the time you complete your purchase on Samsung.com (i.e. when you receive your order confirmation email), but your points cannot be used on Samsung.com for 14 days after you make your purchase. Your points will show as 'Reserved' until then. Please also note that purchases made on Samsung Business Shop, Student Shop or Employee Purchase Portals do not earn Samsung Rewards Points, nor do phones purchased through Samsung Upgrade Programme. If you use trade-in to pay for part of your order, you will only receive points for the proportion you pay after the discount.
"
samsung rewards	Will I earn Samsung Rewards Points if I use a promotional payment option?	"You only earn points on items you pay for in full, which does include monthly finance.

You only earn points on items you pay for in full, which does include monthly finance. However, phones purchased through Samsung Upgrade Programme or monthly network plans are not included in Samsung Rewards, and for trade-in, you will only receive points for the proportion you pay after the discount."
samsung rewards	How long do I have to use my Samsung Rewards Points?	"Redeem your Samsung Rewards Points within 24 months or they will expire. Keep track of your balance and redeem them soon.

You have to use your Samsung Rewards Points within 24 months of receiving them. After this time, they will no longer show in your points balance in your Samsung account.
"
samsung rewards	What are the lowest and highest number of points I can spend at once?	"Redeem Samsung Rewards points to purchase items from Samsung.com. Minimum requirement is 10 points, and the maximum redemption is 99% of your basket value.

10 points is the minimum points required to purchase items from Samsung.com. The maximum points you can spend is 99% of your basket value. 
"
samsung rewards	Can I transfer my points to another Samsung account?	"Samsung Rewards Points are non-transferable. Earn and redeem your points exclusively on your Samsung account.

"
samsung rewards	Do I still earn points if I return my order?	"Your Samsung Rewards Points are active after 14 days from delivery. If you return your item(s) within the 14-day returns period, your points will be removed from your balance.

"
samsung rewards	Can I share my Samsung Rewards account with someone else?	"Your Samsung Rewards Points are active after 14 days from delivery. If you return your item(s) within the 14-day returns period, your points will be removed from your balance.

Your Samsung Rewards account is linked to your Samsung Account, so anyone using your Samsung Account can earn and spend Samsung Rewards Points."
samsung rewards	What if I return part of my order but keep the rest?	"If you return part of your order within the 14-day returns window, the Samsung Rewards points associated with the items you return will be removed from your balance.

Your Samsung Rewards Points only become active after 14 days from delivery. If you return part of your order within the 14-day returns window, the Samsung Rewards Points associated with the items you return will be removed from your balance. All Samsung Rewards Points associated with the items you keep will become active after 14 days, as normal.
"
samsung account	What are the benefits of creating a Samsung account?	"Explore the benefits offered when signing up for a Samsung Account.

### If you create an account, you will be able to:\n\n\n\n\n### Receive notifications aboutoffers and promotions\n\n\n\n\n\n\n![A gift with a  bow icon](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_samsung-account_benefit-promotion_pc.png)\n\n\n\n\n### Track your orders in My page\n\n\n\n\n\n\n![A map pin and folder icon](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_samsung-account_benefit-myaccount_pc.png)\n\n\n\n\n### Add products toyour Wishlist"
samsung account	How do I sign in/out?	"Find useful visual instructions on how to sign in to your account, and back out.

### Signing in\n\nYou can sign in by clicking on the '**Sign in / Sign up**' link, which appears when you hover over the person icon at the top right of the page.\n\n\n\n\n\n\n\n\n\n![Image shows a hand cursor selecting the sign in / sign up option in the account section drop-down menu](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_samsung-account_sign-in_pc.png)\n\n\n\n\n\n### Signing out\n\nYou can sign out by clicking on the '**Log out**' link, which appears when you hover over the person icon at the top right of the page."
samsung account	How do I change/reset my Samsung.com account password?	"Update or reset your Samsung.com account password easily. Follow the quick instructions to gain secure access.

If you have forgotten your Password:\n\n1. Click on the person icon in top right  \n  \n2. Choose Sign in/Sign-Up  \n  \n3. Select ['Forgot password?‘](https://account.samsung.com/accounts/v1/Samsung_com_UK/resetPassword) after filling out the email field and selecting ‘Next’  \n  \n4. Enter your account ID (email) and select the 'Reset password' button  \n  \n5. Enter the phone number associated with your Samsung Account then select ‘Continue'  \n  \n6. Choose how you would like to verify your account and select ‘Continue'  \n  \n7. You will receive a password reset link via your chosen reset method  \n  \n8. Click the link shared with you and then follow the on-screen instructions to change your password"
samsung account	How do I create a Samsung.com account?	"Quickly create an account on Samsung.com with these simple instructions.

Quickly create an account by clicking ‘SIGN UP’ above and then ‘Create account’ in the pop-up box that follows.\n\n\n\n\n Image shows a hand cursor selecting Create account option in the Sign in to your Samsung Account screen, and then the Create your Samsung Account form."
samsung account	I think my account has been hacked or used by someone else. What do I do?	"If you believe your account has been hacked, please follow our recommended next steps.

You can find instructions below on how to protect your information in the event your account has been accessed without your authorisation.

Here's what you can do to secure your account:

Please reset your password immediately using the ‘Forgot password?’ function on our Sign In/Sign-Up page.

There's no need to worry about your financial information, as Samsung does not store your full payment card details. After you complete a purchase on Samsung.com, the following information is visible on your account (and to our customer service team):

The date your order was placed
The amount paid
The last 4 digits of the card that you used
The expiration date and the card type
Name on the card
This limited information cannot be used by someone else to make unauthorised payments."
samsung account	Do I need to create an account to buy products from Samsung.com?	"No, you can make a purchase as a guest without creating a Samsung.com account, but there are some perks to creating an account with us.

No, you can make a purchase as a guest without creating a Samsung.com account. If you do this, it's important you provide a valid email address, as you will be asked to enter it during the purchase process. We use this address to send you details about your purchase, like your order confirmation (which contains your order number and, if applicable, a tracking number), as well as updates on the progress of your order, such as dispatch notifications."
samsung account	I am having trouble logging in, what do I do?	"Effortlessly resolve login issues. Follow our simple troubleshooting steps to regain access.

If you are having trouble logging into your account, please check 'Caps Lock' is not enabled – all passwords are case sensitive.  \n  \nIf that doesn’t work, select ‘Forgot password?’ and follow the step-by-step instructions to reset your password.  \n  \nIf you are struggling with access to your registered phone number, please take a look at our article on [How to change your Samsung Account mobile number using two-step phone verification](https://samsung.com/uk/support/mobile-devices/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/)."
samsung account	How do I update my account details/information?	"Easily manage your account and personal information by following our step-by-step instructions.

Easily manage your account and personal information, including registered addresses.\n\n\n\n\n1\n**Log in to Samsung website**\n\n\n\n\n Image shows a hand cursor selecting the sign in / sign up option in the account section drop-down menu \n\n\n\n\n\n2\n**Hover on the 'person' icon, and click on 'My page'**\n\n\n\n\n Image shows a hand cursor selecting the My page option in the account section drop-down menu \n\n\n\n\n\n3\n**You can update your address here, as well as view your orders and wishlist.**\n\n\n\n\nThen click on 'Edit my profile.’ To add or remove a delivery or billing address, click on the ‘Delivery’ or ‘Billing’ tabs. You can also select between the options below to amend your marketing preferences and then click save.  \n  \nTo change your Name, Email and other details, click on the 'person' icon at the top right, click on your name, then select 'Edit Personal Information'. Make the changes required and click save.  \n\n\n\n\n\nIf you’re having problems updating your details, our Customer Services team can help. However, for security purposes, they can only assist with updating your address details."
samsung account	How do I change my Samsung Account mobile number using two-step phone verification?	"Learn how to secure your account by easily updating your Samsung Account mobile number with these simple steps.

How to change your Samsung Account mobile number using two-step phone verification
==================================================================================![Samsung account page on laptop and mobile](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/header.png)
Your Samsung account may contain vital information, so it is important to be protected with two-step verification. When it’s set up, you'll get a prompt or text message on a mobile device to confirm that it is you logging in. If you want to update your phone number, you can do so via your smartphone, tablet or laptop/PC.
1
**Go to **Settings****
![Settings app icon](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/app-settings-icon.png)
2
**Tap on **Accounts and backup****
![Accounts and backup selected in Settings](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/1-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
3
**Tap on **Manage accounts****
![Manage accounts selected in Accounts and backup](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/2-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
4
**Select **Samsung Account****
![Samsung Account selected in Manage accounts](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/3-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
5
**Tap on **My profile****
![My profile selected in Samsung account settings](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/4-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
6
**Tap on **Security and privacy****
![Security and privacy selected in Samsung account profile](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/5-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
7
**Tap on **Two-step verification**, then enter your password**
![Two-step verification selected in security and privacy settings of Samsung Account](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/6-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
8
**Under **Verification methods**, tap **Text message****
![Text message selected under Verification methods in Two-step verification menu ](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/7-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
9
**Tap **Add****
![Add selected in Text messages menu of two-step verification options ](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/8-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
10
**Enter your phone number, then tap **Send code****
![Send code selected in Add phone number menu](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/9-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
10
**Enter the code in the space provided, then tap **Verify****
PC
--1
**Go to the [ Samsung Account website](https://account.samsung.com/)**
2
**Click **Sign in** and enter your login details**
![Sign in selected on home page of Samsung Account website](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/10-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
3
**Click on **Security** then enter your password**
![Security selected on My Account section of Samsung Account website](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/11-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
4
**Under **Password and security** click **Two-step verification****
![Two-step verification selected in Security section of Samsung Account website](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/12-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
5
**Click **Text message****
![Text message selected in Two-step verification section of Samsung Account website](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/13-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
6
**Click **Edit personal information****
![Edit personal information selected in Text message section of Samsung Account website](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/14-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
7
**Click **Add phone number****
![Add phone number selected in Personal info section of Samsung Account website](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/15-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
8
**Enter your phone number and click **Send code****
![17Send code selected in Register your phone number section of Samsung Account website](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/16-uk-changing-your-mobile-number-using-two-step-phone-verification.png)
9
**Once you receive the code, click **Verify****
If you can’t log into your Samsung Account because you have a new phone number, please try the following:
1
**Check to see if you have another Galaxy device on which you are already logged into your Samsung Account. If you do, select **Verify with Galaxy device.****
2
**If you don’t have another device logged into a Samsung Account, you can authorise the login using the codes shared when you first set up your Samsung Account.**
3
**If the above options are unavailable, [ please contact Samsung Support for further support.](https://www.samsung.com/uk/support/#contact)**
Remove previous number
----------------------1
**To remove your previous number, tap on **Settings (3 dots)**  in the top right corner**
![Tap on Settings (3 dots) in the top-right corner](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/uk-two-step-phone-number-233x520-1.jpg)
2
**Tap **Delete****
![tap the delete pop-up button](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/uk-two-step-phone-number-233x520-2.jpg)
3
**Select the previous number you’d like to remove and tap **Delete****
![Select a number to remove and tap Delete](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/uk-two-step-phone-number-233x520-3.jpg)
4
**Your previous number will now be removed from two-step verification with your current number remaining**
![Phone number removed from two-step verification](https://images.samsung.com/is/image/samsung/assets/uk/support/how-to-change-your-samsung-account-mobile-number-using-two-step-phone-verification/uk-two-step-phone-number-233x520-4.jpg)
**Please note:** To delete a number on your PC, go to **Profile** > **Edit personal information** > Click **Delete** next to the phone number you’d like to remove from your account.Related Questions"
products and orders	What offers and promotions are currently running?	Discover the latest offers, promotions, and discounts across our range of Samsung products by visiting our Offers page.
products and orders	Can I track the progress of my order?	"Keep tabs on your order's progress with easy tracking options. Find the tracking link in your order confirmation or dispatch email or track your order directly on our website.

Provided your order was through Samsung.com then yes, you can. A tracking link can be found in both the order confirmation email and the dispatch confirmation email sent to the address you supplied when you placed your order. Alternatively, you can find your order details and track your order on our website, by following the steps below:\n\n\n\n\n### If you checked out as a guest"
products and orders	Can I make a purchase over the phone?	Purchases are only available online and through our mobile app. If you need assistance with your order, please contact our customer support, and we will do all that we can to help you.
products and orders	The item I want is out of stock. Can I still place an order, so I receive the item as soon as it’s back in stock?	"Secure your desired item by placing an order now. The item will be shipped once we receive it in stock, depending on restock lead times.

Yes you can place an order and the item will be shipped once we receive it in stock  \n  \nIf the item you wish to buy will definitely be back in stock within 14 days, you can back order the product, so it will be dispatched as soon as it is available again.  \nIf the item will not be back in stock for longer than 14 days, or we don’t know when it will be back in stock, you can sign up for stock alerts, by clicking ‘RECEIVE STOCK ALERTS’ and submitting your email address.  \n  \nIf the item is not due to be restocked on Samsung.com, you can click on the ‘WHERE TO BUY’ link to find other retailers (online and offline) that may still have the item in stock.\n### RECEIVE STOCK ALERTS BUTTON LOCATION\n![Image shows a hand cursor selecting 'Request stock alerts' on a product finder page and then the 'Get stock alerts' pop-up form](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_products-and-orders_get-stock-alert-button-location_pc.png)\n### RECEIVE STOCK ALERTS POP-UP\n![Image shows a hand cursor selecting 'Request stock alerts' on a product finder page and then the 'Get stock alerts' pop-up form](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_products-and-orders_request-stock-alert-popup-description_pc.png)\n### WHERE TO BUY LINK LOCATION – PRODUCT FINDER\n![Image shows a hand cursor selecting 'Where to buy' on a product finder page and then the 'FIND STORE' pop-up with the logos of various stockists](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_service-and-warranty_where-to-buy-location_products-finder_pc.png)\n### WHERE TO BUY LINK LOCATION – PRODUCT PAGE"
products and orders	I forgot to order something. Can I add it to my existing order?	Once an order is placed, additional items cannot be added. Please place a new order for any additional items you need. Enjoy free fast delivery, when signed in, on all Samsung products (next day on most).
products and orders	Can I change an order?	"Order changes not possible after placement. Find out what your options are below.

Unfortunately, you are not able to change your order once it has been placed. Should you decide you want to change your order, you can either cancel it and place a new order, or return the order and place a new one, if it has already been dispatched."
products and orders	Do you supply chargers with Smartphones?	"No. In order to reduce e-waste, our Smartphones do not come with a charger plug in box. Follow the link to add one to your order.

No. In order to reduce e-waste, our Smartphones do not come with a charger plug in box.

You can use your existing charger plug together with the included USB Type-C data cable, or add one to your order."
Returns and cancellations	What is the returns period?	"You can notify us that you have changed your mind for online orders within 14 days. You will then have 14 days to return the product to us. Please see the “What can I do if my product is faulty” question instead if your product is faulty.

We will be happy to accept a return, and offer an exchange or refund, as long as you **notify us within 14 days** of the day you receive your product(s), unless otherwise stated as part of a promotion. You will then have a **further 14 days from notification** to return your product(s) to us.  \n  \n**A full refund will not be provided (and a reduced amount refunded instead) if:**  \n  \na) you have handled the product more than if you were reviewing it in a retail store before purchase (e.g. you have used it more than is necessary to establish its nature, characteristics and functioning). Including if you have installed the product(s), connected the product(s) to services such as water or gas, or inputted any data, or installed software. We will make a minimum of 20% deduction from your refund for the reduction in value of the product(s). This reflects the minimum reduction in the value of the product caused by this handling;  \n  \nb) the product(s) are not returned in an as new condition with all original packaging, accessories, and any free of charge products supplied with the product(s). We will reduce the refund amount to reflect the value of any accessories or free of charge products not returned; or  \n  \nc) the products(s) are returned damaged.  \n  \n  \nAn example of reductions that may apply:\n\n\n\n\n-\n| **Reason** | **Partial Refund Amount** |\n| --- | --- |\n| Free of charge item is not returned | You will receive your refund minus the free of charge item value |\n| Installed the product | Minimum 20% reduction from your refund if you have installed the product(s), or connected the product(s) to services such as water or gas |\n| Used the product | Minimum 20% reduction from your refund if you have inputted any data, installed software onto the product or if earbuds/earphones have been used |\n\n\n**Returns refund details**  \n  \nOnce we have received your returned order, we will process a refund or exchange as set out in the [Terms and Conditions of Sale](https://samsung.com/uk/estore/static/link_terms_and_conditions_of_sale/#tmc-ten). We will email confirmation that your return has been received, and again, when it has been processed.  \n  \nAll returns can take up to 14 days to process. If you have not received confirmation of your return after 14 days, please [contact us](https://samsung.com/uk/support/contact/). A Customer Support agent will be in touch, if we require any further information to process your return.  \n  \n**Returns packaging process**  \n  \nPlease securely package your item in the original packaging, along with any bundled or promotional items you received with your order (whether free or discounted).  \n  \n  \nThe items you have to return depends on whether you ordered a single item or multiple items, and in the case of multiple items, whether any were free gifts or discounted items as part of a bundle deal, see below for details."
